Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Disposal","9656.57319362162","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Energy recovery","128.621600743236","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Disposal","2803.57974450302","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Energy recovery","37.3425341804975","Core waste"
"2020-2021","NT","Unclassified materials","C&D","Landfill","Disposal","0","Core waste"
"2020-2021","NT","Unclassified materials","C&I","Landfill","Disposal","0","Core waste"
"2020-2021","NT","Unclassified materials","MSW","Landfill","Disposal","0","Core waste"
"2020-2021","NT","Unclassified materials","MSW","Waste reuse","Waste reuse","330","Core waste"
"2020-2021","Qld","Ash","C&I","Other disposal","Long-term storage","3625031.66422422","Non-core waste"
"2020-2021","Qld","Ash","C&I","Recycling","Recycling","5953.04980827158","Non-core waste"
"2020-2021","Qld","Ash","C&I","Waste reuse","Waste reuse","861000","Non-core waste"
"2020-2021","Qld","Biosolids","C&I","Other disposal","Disposal","0","Core waste"
"2020-2021","Qld","Biosolids","C&I","Recycling","Recycling","299142.857142857","Core waste"
"2020-2021","Qld","Building and demolition materials","C&D","Landfill","Disposal","443763.84796911","Core waste"
"2020-2021","Qld","Building and demolition materials","C&D","Recycling","Recycling","1975618","Core waste"
"2020-2021","Qld","Building and demolition materials","C&I","Landfill","Disposal","219878.114036873","Core waste"
"2020-2021","Qld","Building and demolition materials","MSW","Landfill","Disposal","32522.1407293659","Core waste"
"2020-2021","Qld","Glass","C&D","Landfill","Disposal","644.347833273685","Core waste"
"2020-2021","Qld","Glass","C&D","Recycling","Recycling","10549","Core waste"
"2020-2021","Qld","Glass","C&I","Landfill","Disposal","40835.8631834786","Core waste"
"2020-2021","Qld","Glass","C&I","Recycling","Recycling","10101.485","Core waste"
"2020-2021","Qld","Glass","MSW","Landfill","Disposal","95330.2914854419","Core waste"
"2020-2021","Qld","Glass","MSW","Recycling","Recycling","82259","Core waste"
"2020-2021","Qld","Hazardous wastes","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","Qld","Hazardous wastes","C&D","Landfill","Disposal","442155.892654735","Core waste"
"2020-2021","Qld","Hazardous wastes","C&D","Other disposal","Disposal","0","Core waste"
"2020-2021","Qld","Hazardous wastes","C&D","Recycling","Recycling","134388.938545265","Core waste"
"2020-2021","Qld","Hazardous wastes","C&D","Treatment","Disposal","0","Core waste"
"2020-2021","Qld","Hazardous wastes","C&D","Treatment","Energy recovery","0","Core waste"
"2020-2021","Qld","Hazardous wastes","C&D","Treatment","Recycling","0","Core waste"
"2020-2021","Qld","Hazardous wastes","C&I","Energy from waste facility","Energy recovery","29144.8819000753","Core waste"
"2020-2021","Qld","Hazardous wastes","C&I","Landfill","Disposal","413622.122365786","Core waste"
"2020-2021","Qld","Hazardous wastes","C&I","Other disposal","Disposal","14342.8141236623","Core waste"
"2020-2021","Qld","Hazardous wastes","C&I","Recycling","Recycling","472487.489837838","Core waste"
"2020-2021","Qld","Hazardous wastes","C&I","Treatment","Disposal","82721.7654105614","Core waste"
"2020-2021","Qld","Hazardous wastes","C&I","Treatment","Energy recovery","8976.94271379858","Core waste"
"2020-2021","Qld","Hazardous wastes","C&I","Treatment","Recycling","92259.6754072049","Core waste"
"2020-2021","Qld","Metals","C&D","Landfill","Disposal","11098.912326523","Core waste"
"2020-2021","Qld","Metals","C&D","Recycling","Recycling","369207","Core waste"
"2020-2021","Qld","Metals","C&I","Landfill","Disposal","67644.6628945228","Core waste"
"2020-2021","Qld","Metals","C&I","Recycling","Recycling","539031.27814","Core waste"
"2020-2021","Qld","Metals","MSW","Landfill","Disposal","82087.5884128371","Core waste"
"2020-2021","Qld","Metals","MSW","Recycling","Recycling","61817","Core waste"
"2020-2021","Qld","Organics","C&D","Energy from waste facility","Energy recovery","7620","Core waste"
"2020-2021","Qld","Organics","C&D","Landfill","Disposal","39074.8487272982","Core waste"
